timestamp,username,text,source
2026-04-25 12:00:00,user_01,الخدمة سيئة جدًا والتطبيق يتعطل كل مرة,demo
2026-04-25 12:01:00,user_02,أنا خائف جدًا ولا أعرف ماذا أفعل أحتاج مساعدة الآن,demo
2026-04-25 12:02:00,user_03,سأؤذيك إذا اقتربت مني مرة أخرى,demo
2026-04-25 12:03:00,user_04,حدث شجار عنيف في الشارع والناس يصرخون,demo
2026-04-25 12:04:00,user_05,اليوم الجو جميل والناس مستمتعة بالإجازة,demo
2026-04-25 12:05:00,user_06,تأخر الرد من الدعم الفني وهذا أمر مزعج جدًا,demo
2026-04-25 12:06:00,user_07,أشعر بضيق شديد ولا أستطيع النوم منذ أيام,demo
2026-04-25 12:07:00,user_08,سأكسر كل شيء إذا لم يتم حل المشكلة اليوم,demo
2026-04-25 12:08:00,user_09,الفعالية كانت ممتازة والتنظيم رائع,demo
2026-04-25 12:09:00,user_10,أين المسؤولون عن هذه المشكلة الوضع غير مقبول,demo
2026-04-25 12:10:00,user_11,هناك تجمع كبير والناس غاضبة جدًا,demo
2026-04-25 12:11:00,user_12,التطبيق يعمل بشكل جيد بعد التحديث الأخير,demo
2026-04-25 12:12:00,user_13,أحتاج أحد يساعدني الوضع صعب جدًا,demo
2026-04-25 12:13:00,user_14,سوف أنتقم منهم قريبًا,demo
2026-04-25 12:14:00,user_15,الازدحام شديد والخدمة بطيئة جدًا,demo